AngErr,Ecc,Tr
0.7313597322,2.5107945626,2
0.7715728663,8.2647838605,2
1.3805622559,11.0067427579,2
1.2151270932,7.3509722848,2
1.110071534,10.5555294927,2
1.3364608688,8.5955014121,3
1.091430027,6.5762919061,3
1.2926569868,9.706890168,3
1.3018178964,7.4518857734,3
0.4675580082,2.2257602308,3
0.7247429954,7.6790616217,3
0.5891740269,8.1481266656,3
0.4016025134,2.0746809313,3
0.6286879919,7.3311447679,3
0.7692016042,10.0852336893,3
0.9722892684,6.3421452618,3
1.1650164905,8.7195799455,3
0.9691948583,8.1150555171,3
0.8668430542,6.3072641229,3
0.5525181327,4.1211560512,3
1.0573565762,8.3339970642,3
0.4794471331,6.6110446001,3
0.1848004672,1.1500924879,3
0.914481719,7.8760015202,3
0.30542234,7.2410856335,3
0.6363251137,2.1524196056,3
0.5937502222,7.2022710547,3
0.8652202503,8.3283192478,3
0.9559418664,4.6734637774,3
0.6509490909,8.3670936424,3
0.6023208008,7.6036593132,1
0.2953467561,4.0212423669,1
0.5293483066,7.8181271055,1
0.3961806774,6.6330043886,1
0.4803165192,1.4592059503,1
0.7297804536,6.7187144078,1
0.0612788127,7.0668920779,1
0.2016096851,0.6754306403,1
0.182442308,6.6168950568,1
0.5871778018,8.1175985771,1
0.6701196538,3.8741306318,1
0.479584332,7.9518136848,1
0.4570272837,6.6595835134,2
0.3467683913,4.500174444,2
0.4955512417,7.7692115451,2
0.3647601751,7.5379418606,2
0.0077629404,1.6107408413,2
0.5141621515,6.8133511253,2
0.2506527394,7.4775741884,2
0.0059719577,1.2411587219,2
0.2331599845,7.0872615476,2
0.4957401188,8.3513283997,2
0.6301213065,4.4017424661,2
0.5870606435,8.0523884768,2
1.2669139227,9.2883997722,3
1.2770231036,6.2257658383,3
0.96466845,9.6137620369,3
0.9465581431,8.3341290092,3
0.1223672612,2.1395355924,3
0.513922664,7.9707009931,3
0.7112891849,8.4738456092,3
0.6297204568,1.986578097,3
1.2234149417,7.86426429,3
1.5320312533,9.9272498469,3
1.451283621,5.7176575461,3
1.0852850707,9.9168383343,3
3.2206509365,10.5225797993,2
2.3086523053,7.0369820732,2
1.5825943691,10.1904402922,2
1.3827091117,8.8030544803,2
0.1131949247,2.218429058,2
0.4304849917,8.1796006672,2
1.1098806287,8.5207180975,2
0.782633444,2.6283516345,2
0.8710398999,8.734077845,2
1.5705485589,10.2864810143,2
1.2486306416,6.7326840132,2
0.8696508045,10.4203872895,2
1.2415104607,8.8310026183,1
0.9368960632,6.0948523443,1
0.9326050994,10.2360819104,1
1.0153953311,7.9454288068,1
0.2247489124,1.4711751222,1
0.500657243,7.5356896111,1
0.8861351499,8.0466098258,1
0.3867136448,1.8758038283,1
0.8560397469,7.5801372009,1
1.5540035714,9.9936075859,1
1.5069577906,6.0309812608,1
1.867717323,9.5038919572,1
0.94603664,8.4729980923,1
0.7330238898,8.1717882769,1
0.6112886396,5.3209934175,1
1.0182955359,9.2483136063,1
0.1891082439,6.5716320575,1
0.2463355273,1.2113683953,1
0.4476478535,7.2289187128,1
0.4118452614,6.9385435144,1
0.2973339434,2.6778691782,1
0.2862698252,7.6554167226,1
0.9678024372,8.8679755551,1
0.9668631904,5.9359265833,1
0.8960699777,9.5878652746,1
0.9701958393,9.3130157894,2
0.5867840198,5.6795507616,2
0.983164554,8.9142509863,2
0.454847683,7.8475759099,2
0.3152444642,2.1295467038,2
0.7209411282,7.6056293564,2
0.7731969204,7.4222467018,2
0.7472584112,2.1779948921,2
0.7160291719,7.5667358154,2
1.0256129405,9.4743674872,2
0.8823718552,5.854293823,2
0.5776717562,9.1859866619,2
1.0738705712,7.5796825844,3
0.7759545055,4.3532985533,3
1.0215822006,8.7418245788,3
0.4964056739,6.6186225484,3
0.4211822939,1.7188676549,3
0.5886442152,6.8641355156,3
0.1825106227,7.4702519768,3
0.0915533396,1.2828422353,3
0.5308103863,6.6335204518,3
0.5913109136,8.7156824749,3
0.6102961609,4.6762339129,3
0.7465372675,8.3505763042,3
0.8153272543,7.9470622877,4
0.8080074612,5.0844877561,4
0.8574799232,8.439932117,4
0.2809570325,6.9948921045,4
0.0639632452,1.6492155013,4
0.3639023927,6.8466731814,4
0.266679457,7.0113885766,4
0.4615178018,1.604735554,4
0.410631752,6.846676574,4
0.3256566378,8.3594683987,4
0.5924741681,5.1970278142,4
0.655113977,8.5675709405,4
1.7521664953,6.6608433453,3
1.7080186353,3.6321804305,3
1.4306489839,7.1270999277,3
0.7662300443,7.1223593029,3
0.8783703356,1.33177044,3
1.0700569465,6.4794795344,3
0.6830667163,6.8519261266,3
0.7060633083,1.1683360382,3
0.6505440106,6.8254079927,3
1.0038360804,7.6063962714,3
1.0361633318,4.5918426317,3
0.7453917527,7.7680278567,3
1.8851450494,7.8360047861,2
1.5123147521,4.6508897418,2
1.7639040684,8.2921862937,2
1.023690244,6.7257202,2
1.1399754018,1.5586154547,2
1.302985264,6.8430435865,2
1.3975749668,7.0853492406,2
0.9579657898,1.4404412493,2
1.0292228382,6.7069386499,2
1.3215726451,8.3903232632,2
0.9533169448,4.8511082674,2
1.2134040394,8.3646986107,2
0.8759159865,8.107000076,1
0.6851371067,5.0555350652,1
0.9397910622,8.3183260926,1
0.3546346409,6.7289978819,1
0.3229441215,1.5949804611,1
0.4598031912,6.7654563493,1
0.2781453728,6.8666462197,1
0.4690320905,1.8216662958,1
0.420619192,6.5624012481,1
